Valeur de calcul;;;;;;Formules de calcul;;;;Entrées;;;;;
valeur;valeur numérique;Incertitude;Commentaire;;;Valeur;Formules;Commentaire;;Valeur;Valeur par défault;Niveau;Type;Commentaire;
FEobj10_ch;0.5875;0;;;;ref Général;;;;H;3;;réel;m;
FEobj50_ch;0.1611;0;;;;ref Général eau;;;;taur;1;;réel;tau de recirculation;
FEobj100_ch;0.1219;0;;;;Q;Qe*(1+taur);;;vit ;60;1,2;réel;m/h;
Welec_fb;5;0;kWh/m3 [10];;;ref Bassin cylindrique;;;;TBentrant_s;;;réel ;Tonne de boue en sortie du clarificateur en tonne par an;
;;0;;;;;;;;;;;;;
FEcompost;2.892;0;;;;Bassin biologique;;;;;;;;;Point
ch4_compost;2.9;150;kgCH4/t déchets [10];;;ref Général;;;;charge_bio;;1;list;;
n2o_compost;0.65;80;kgN2O/t déchets [10];;;ref Général eau;;;;DBO5;;2;réel;;
Welec_compost;160;80;kWh/tMS [10];;;Vu;DBO5/charge_bio;;;H;4;;réel;;
gazole_compost;10;0;L/tMS [10];;;ref Bassin cylindrique;;;;;;;;;
;;;;;;Décanteur lamellaire;;;;;;;;;Point
FEobj10_st;;0;;;;ref Général;;;;charge_bio;;2;list;;
FEobj50_st;26.4856;0;;;;ref Général eau;;;;DBO5;;2;réel;;
FEobj100_st;13.6647;0;;;;ref Bassin cylindrique;;;;vit ;15;1,2;réel;m/h;
Welec_st_pell;62.5;5;kWh/tee [10];;;larg;prop_l*l;;;;;;;;
Welec_st_nopell;105;5;kWh/tee [10];;;long;(S/prop_l)^(1/2);;;H;4;;réel;;
Pth;1000;10;kW/tee [10];;;Vterre;Sterre*Hterre*tauenterre;;;vlam;20;;;m/h;
;;;;;;Sterre;(long+e)*(larg+e);;;prop_l;1;;réel;proportion largeur longueur;
;;;;;;Hterre;(H+e);;;long ;;3;réel;;
;;;;;;Vbet;e*long*larg + 2*long*Hterre*e + 2*larg*Hterre*e;;;larg ;;3;réel;;
;;;;;;Slam;Qe/vlam;;;H;5;;réel;;
;;;;;;co2_c_lam;Vlam*rholam*FElam;;;;;;;;
;;0;;;;co2_c;co2_c_bassin + co2_c_terrassement + co2_lam;;;;;;;;
FEobj10_ss;7.6227;0;;;;;;;;;;;;;
FEobj50_ss;3.9359;0;;;;Dessableur-Dégraisseur ;;;;;;;;;Point
FEobj100_ss;3.3911;0;;;;ref Général;;;;Tsables;;3;réel;quantité de déchets sableux (kg/an);
Welec_ss (Serre ouverte);50;40;kwh/tee [10];;;ref Général eau;;;;Tgraisses;;3;réel;quantité de déchets graisseux (kg/an);
Welec_ss (Serre fermée sans désodorisation);85;20;;;;ref Bassin cylindrique;;;;H;4;;réel;;
Welec_ss(Serre fermée désodorisation biologique);150;33;;;;ref Déchets;;;;vit ;20;1,2;;;
Welec_ss(Serre fermée désodorisation chimique);1000;0;;;;co2_e ;co2_e_sables+co2_e_graisses;;;;;;;;
Welec_ss(Serre avec plancher chauffant sans désodorisation);200;25;;;;;;;;;;;;;
Welec_ss(Serre avec plancher chauffant avec désodorisation);675;70;;;;Bassin d'orage;;;;;;;;;Point
;;;;;;ref Général;;;;tsejour;1;;réel;temps de stockage demandé (j);
FEbranche;420;95;kgCO2eq/ml [2];;;ref Général eau;;;;;;;;;
FErep_branche_t;400;95;kgCO2eq/ml [2];;;ref Bassin cylindrique;;;;H;4;;réel;;
FErep_branche;7;30;kgCO2eq/ml [2];;;Vu;Qe*tsejour;;;;;;;;
;;;;;;;;;;;;;;;
FEcurage_prev;42;50;kgCO2eq/km[2];;;MBBR;;;;;;;;;Point
FEcurage_cur;53;50;kgCO2eq/km[2];;;ref Général;;;;Smateriau;;3;réel;Surface de chips en m2;
FEcurage_desob;12;50;kgCO2eq/km[2];;;ref Général eau;;;;s_v;500;;réel;m2/m3 Conversion surface volume;
;;;;;;ref Bassin cylindrique;;;;H;4;;réel;;
;;;;;;Smateraiau;DBO5/dbo5_s;;;tau_remp;0.4;;réel;;
;;;;;;Vmat;Smateriau/s_v;;;rho_media;145;;réel;kgPEHD/m3;
prod_e (Acide chlorhydrique);;;Le e à la fin c est juste pour ne pas avoir à changer le code qui fait excel to sql;;;Vu;Vmat/tau_remp;;;dbo5_s;0.01;;réel;kgDBO5/m2/j;
prod_e (Acide citrique);;;;;;co2_c;co2_c_bassin + co2_c_terrassement + co2_pehd;;;;;;;;
prod_e (Acide phosphorique);;;;;;co2_pehd;Vmat*rho_media*FEpehd;;;;;;;;
prod_e (Acide nitrique);;;;;;;;;;;;;;;
prod_e (Acide sulfurique);;;;;;;;;;;;;;;
prod_e (Éthanol);;;;;;BRM;;;;;;;;;Point
prod_e (Antiscalants);;;;;;ref Général;;;;H;4;;réel;;
prod_e (Bisulfite de sodium);;;;;;ref Général eau;;;;Mmebrane;;4;réel;;
prod_e (Carbonate de calcium);;;;;;ref Bassin cylindrique;;;;;;;;;
prod_e (Cristaux de soude);;;;;;Vu;;;;;;;;;
prod_e (Régénérant de calcium);;;;;;co2_membrane;Mmembrane*FEfiltre_memb;;;;;;;;
prod_e (Calcium neuf);;;;;;co2_c;co2_c_bassin + co2_c_terrassement + co2_membrane;;;;;;;;
prod_e (Poudre de calcium);;;;;;;;;;;;;;;
prod_e (Chaux);;;;;;Dégazage;;;;;;;;;Point
prod_e (Chlore);;;;;;ref Général;;;;vit ;60;1,2;;;
prod_e (Chlorate de sodium);;;;;;ref Général eau;;;;;;;;;
prod_e (Antimousse);;;;;;ref Bassin cylindrique;;;;H;5;;réel;;
prod_e (Méthanol);;;;;;;;;;;;;;;
prod_e (Oxygène liquide);;;;;;FPR;;;;;;;;;Point
prod_e (Permanganate de potassium);;;;;;co2_terrassement;Vterre*rhoterre*FEevac + Vterre*cad*FEpelle;;;S_geom_eh;1.5;;réel;m2/EH;
prod_e (Peroxyde d’hydrogène);;;;;;co2_c;co2_terrassement + S_geom*FEgeom;;;H;2;;réel;m;
prod_e (Floculant);;;;;;S_geom;S_geom_eh*EH;;;;;;;;
prod_e (Résine anionique);;;;;;ref Général;;;;;;;;;
prod_e (Résine cationique);;;;;;ref Général eau;;;;;;;;;
prod_e (Résine échangeuse d’ions);;;;;;Vterre;S_geom*H;;;;;;;;
prod_e (Sable de filtration);;;;;;Lagunage;;;;;;;;;Point
prod_e (Soude);;;;;;co2_c;S_geom1*Fegeom1 + co2_terrassement1 + S_geom2*Fegeom2 + co2_terrassement2 +S_geom3*Fegeom3 + co2_terrassement3;;;S_geom_eh1;9;;réel;m2/EH;
prod_e (Sulfate d’aluminium);;;;;;S_geom1;S_geom_eh1*EH;;;S_geom_eh2;4.5;;réel;m2/EH;
prod_e (Sulfate de sodium);;;;;;S_geom2;S_geom_eh2*EH;;;S_geom_eh3;4.5;;réel;m2/EH;
prod_e (Urée);;;;;;S_geom3;S_geom_eh3*EH;;;S_geom1;;3;réel;m2;
prod_e (Chlorure ferrique);;;;;;co2_terrassement1;Vterre1*rhoterre*FEevac + Vterre1*cad*FEpelle;;;S_geom2;;3;réel;m2;
prod_e (CO2 liquide);;;;;;co2_terrassement2;Vterre2*rhoterre*FEevac + Vterre2*cad*FEpelle;;;S_geom3;;3;réel;m2;
prod_e (Coagulants liquide);;;;;;co2_terrassement3;Vterre3*rhoterre*FEevac + Vterre3*cad*FEpelle;;;H1;1.8;;réel;m;
prod_e (Eau de javel);;;;;;Vterre1;S_geom1*H1;;;H2;1.4;;réel;m;
prod_e (Lait de chaux;;;;;;Vterre2;S_geom2*H2;;;H3;1.2;;réel;m;
;;;;;;Vterre3;S_geom3*H3;;;;;;;;
;;;;;;ref Général;;;;;;;;;
;;;;;;ref Général eau;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;Général boue;;;;;;;;;
;;;;;;FEobj_eh;FEobj10*(EH<10000) + FEobj50*(EH>10000)*(EH<100000) + FEobj100*(EH>100000);;;tau_capture;1;;réel;Taux de capture en MES;
;;;;;;co2_c;FEobj_eh*TBentrant*d_vie;;;d_vie;15;;;;
;;;;;;TBsortant_s;TBsortant*tau_capture;Demander pour être sûr que c'est bien ça;;TBsortant_s;;;;;
;;;;;;;;;;;;;;;
;;;;;;Stockage Boue;;;;;;;;;Point
;;;;;;ref Général;;;;FEstock;;1;list;;
fe_hcl;1200;50;kgCO2eq/t [2];;;ref Général boue;;;;grand ;0;;booléen;Silo de dimaètre > à 2m (on pourrait avoir une valeur par défaultvariant en fonction de FEstock;
fe_citrique;1000;30;;;;FEobj_eh;FEstock;;;DBO;;2;réel;;
fe_phosphorique;1420;50;;;;ch4_e;(grand*FEsilo_grand + (1-grand)*FEsilo_petit)*DBO*(1-aere);;;aere;0;;booléen;Le silo est-il aéré ?;
fe_nitrique;3180;100;;;;co2_e;FEsilo_aere*aere*TBentrant;;;d_vie;30;;;;
fe_sulf;148;50;;;;;;;;;;;;;
fe_ethanol;1470;25;;;;;;;;;;;;;
fe_antiscalant;2000;30;;;;Conditionnement chimique ;;;;;;;;;Point
fe_nahso3;416;30;;;;ref Général;;;;;;1;list;;
fe_caco3;75;50;;;;ref Général boue;;;;q_fecl3;;6;réel;;
fe_soude_c;1052;30;;;;;;;;q_chaux;;6;réel;;
fe_ca_regen;1320;50;;;;;;;;q_anio;;6;réel;;
fe_ca_neuf;10514;60;;;;co2_e;q_fecl3*(FEfecl3+transp_fecl3*FEtransp/1000) + q_chaux*(FEchaux+transp_chaux*FEtransp/1000) + q_anio*(FEanionique+transp_anio*FEtransp/1000) + q_catio*(FEcationique+transp_catio*FEtransp/1000);;;q_catio;;6;réel;;
fe_ca_poudre;10451;95;;;;Welec;Welec_cc*Vboue;;;transp_fecl3;;6;réel;;
fe_chaux;1032;30;;;;;;;;transp_chaux;;6;réel;;
fe_cl2;740;30;;;;FEobj10;FEobj10_cc;;;transp_anio;;6;réel;;
fe_naclo3;46;30;;;;FEobj50;FEobj50_cc;;;transp_catio;;6;réel;;
fe_anti_mousse;40;30;;;;FEobj100;FEobj100_cc;;;Vboue;;3;réel;;
fe_mhetanol;521;50;;;;Conditionnement thermique ;;;;;;;;;Point
fe_oxyl;408;30;;;;ref Général;;;;Vboue;;3;réel;m3 de boue par an entrant dans le conditionnement;
fe_kmno4;1151;50;;;;ref Général boue;;;;Welec;;6;réel ;kwh/an;
fe_h2o2;469;30;;;;FEobj_eh;FEobj50*(EH>10000)*(EH<100000) + FEobj100*(EH>100000);;;;;;;;
fe_poly;805;30;;;;FEobj50;FEobj50_ct;;;;;;;;
fe_anio;3927;30;;;;FEobj100;FEobj100_ct;;;;;;;;
fe_catio;1395;30;;;;Welec;Welec_ct*Vboue;;;;;;;;
fe_rei;6700;30;;;;;;;;;;;;;
fe_sable_t;2;30;;;;Tables d'égouttage;;;;;;;;;Point
fe_soude;364;50;;;;ref Général;;;;q_poly;;6;réel;kg/tMS de polymère active ajouté;
